Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","97.52","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","64.57","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","46.2","E","Estimated value",""
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","183.43","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","156.72","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","39.12","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","14.05","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","50.87","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","50.94","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","67.79","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","1.3","E","Estimated value",""
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","131.88","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","261.08","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","13.92","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","16.01","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","35.47","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","34.12","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","15.88","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","2.9","E","Estimated value",""
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","74.94","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","136.98","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","83.2","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","2.73","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","87.02","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","33.38","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","82.58","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","3.31","E","Estimated value",""
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","38.71","E","Estimated value",""
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","162.28","E","Estimated value",""
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","57.24","E","Estimated value",""
